Sexo;Total_Nacional;CCAA;Tipo_de_accidente;Si_No;Total
Hombres;Total;Cataluña;Accidente en tiempo libre;TOTAL;3.107,20
Hombres;Total;Cataluña;Accidente en tiempo libre;Sí;90,8
Hombres;Total;Cataluña;Accidente en tiempo libre;No;3.016,40
Hombres;Total;Cataluña;Accidente en tiempo libre;No consta;0
Hombres;Total;Comunitat Valenciana;Accidente de tráfico;TOTAL;2.079,70
Hombres;Total;Comunitat Valenciana;Accidente de tráfico;Sí;68,8
Hombres;Total;Comunitat Valenciana;Accidente de tráfico;No;2.010,90
Hombres;Total;Comunitat Valenciana;Accidente de tráfico;No consta;0
Hombres;Total;Comunitat Valenciana;Accidente en casa;TOTAL;2.079,70
Hombres;Total;Comunitat Valenciana;Accidente en casa;Sí;56,1
Hombres;Total;Comunitat Valenciana;Accidente en casa;No;2.023,70
Hombres;Total;Comunitat Valenciana;Accidente en casa;No consta;0
Hombres;Total;Comunitat Valenciana;Accidente en tiempo libre;TOTAL;2.079,70
Hombres;Total;Comunitat Valenciana;Accidente en tiempo libre;Sí;75,7
Hombres;Total;Comunitat Valenciana;Accidente en tiempo libre;No;2.004,10
Hombres;Total;Comunitat Valenciana;Accidente en tiempo libre;No consta;0
Hombres;Total;Extremadura;Accidente de tráfico;TOTAL;447
Hombres;Total;Extremadura;Accidente de tráfico;Sí;2,7
Hombres;Total;Extremadura;Accidente de tráfico;No;444,3
Hombres;Total;Extremadura;Accidente de tráfico;No consta;0
Hombres;Total;Extremadura;Accidente en casa;TOTAL;447
Hombres;Total;Extremadura;Accidente en casa;Sí;2,9
Hombres;Total;Extremadura;Accidente en casa;No;444,1
Hombres;Total;Extremadura;Accidente en casa;No consta;0
Hombres;Total;Extremadura;Accidente en tiempo libre;TOTAL;447
Hombres;Total;Extremadura;Accidente en tiempo libre;Sí;6
Hombres;Total;Extremadura;Accidente en tiempo libre;No;441
Hombres;Total;Extremadura;Accidente en tiempo libre;No consta;0
Hombres;Total;Galicia;Accidente de tráfico;TOTAL;1.129,40
Hombres;Total;Galicia;Accidente de tráfico;Sí;29,3
Hombres;Total;Galicia;Accidente de tráfico;No;1.100,10
Hombres;Total;Galicia;Accidente de tráfico;No consta;0
Hombres;Total;Galicia;Accidente en casa;TOTAL;1.129,40
Hombres;Total;Galicia;Accidente en casa;Sí;19,1
Hombres;Total;Galicia;Accidente en casa;No;1.110,20
Hombres;Total;Galicia;Accidente en casa;No consta;0
Hombres;Total;Galicia;Accidente en tiempo libre;TOTAL;1.129,40
Hombres;Total;Galicia;Accidente en tiempo libre;Sí;35,4
Hombres;Total;Galicia;Accidente en tiempo libre;No;1.094,00
Hombres;Total;Galicia;Accidente en tiempo libre;No consta;0
Hombres;Total;Madrid (Comunidad de);Accidente de tráfico;TOTAL;2.678,40
Hombres;Total;Madrid (Comunidad de);Accidente de tráfico;Sí;39,7
Hombres;Total;Madrid (Comunidad de);Accidente de tráfico;No;2.638,70
Hombres;Total;Madrid (Comunidad de);Accidente de tráfico;No consta;0
Hombres;Total;Madrid (Comunidad de);Accidente en casa;TOTAL;2.678,40
Hombres;Total;Madrid (Comunidad de);Accidente en casa;Sí;20
Hombres;Total;Madrid (Comunidad de);Accidente en casa;No;2.658,40
Hombres;Total;Madrid (Comunidad de);Accidente en casa;No consta;0
Hombres;Total;Madrid (Comunidad de);Accidente en tiempo libre;TOTAL;2.678,40
Hombres;Total;Madrid (Comunidad de);Accidente en tiempo libre;Sí;48,9
Hombres;Total;Madrid (Comunidad de);Accidente en tiempo libre;No;2.629,50
Hombres;Total;Madrid (Comunidad de);Accidente en tiempo libre;No consta;0
Hombres;Total;Murcia (Región de);Accidente de tráfico;TOTAL;617,5
Hombres;Total;Murcia (Región de);Accidente de tráfico;Sí;14,1
Hombres;Total;Murcia (Región de);Accidente de tráfico;No;603,4
Hombres;Total;Murcia (Región de);Accidente de tráfico;No consta;0
Hombres;Total;Murcia (Región de);Accidente en casa;TOTAL;617,5
Hombres;Total;Murcia (Región de);Accidente en casa;Sí;3,8
Hombres;Total;Murcia (Región de);Accidente en casa;No;613,7
Hombres;Total;Murcia (Región de);Accidente en casa;No consta;0
Hombres;Total;Murcia (Región de);Accidente en tiempo libre;TOTAL;617,5
Hombres;Total;Murcia (Región de);Accidente en tiempo libre;Sí;12,6
Hombres;Total;Murcia (Región de);Accidente en tiempo libre;No;604,9
Hombres;Total;Murcia (Región de);Accidente en tiempo libre;No consta;0
Hombres;Total;Navarra (Comunidad Foral de);Accidente de tráfico;TOTAL;269,6
Hombres;Total;Navarra (Comunidad Foral de);Accidente de tráfico;Sí;8,4
Hombres;Total;Navarra (Comunidad Foral de);Accidente de tráfico;No;257,9
Hombres;Total;Navarra (Comunidad Foral de);Accidente de tráfico;No consta;3,4
Hombres;Total;Navarra (Comunidad Foral de);Accidente en casa;TOTAL;269,6
Hombres;Total;Navarra (Comunidad Foral de);Accidente en casa;Sí;3
Hombres;Total;Navarra (Comunidad Foral de);Accidente en casa;No;262,2
Hombres;Total;Navarra (Comunidad Foral de);Accidente en casa;No consta;4,4
Hombres;Total;Navarra (Comunidad Foral de);Accidente en tiempo libre;TOTAL;269,6
Hombres;Total;Navarra (Comunidad Foral de);Accidente en tiempo libre;Sí;11,6
Hombres;Total;Navarra (Comunidad Foral de);Accidente en tiempo libre;No;254,7
Hombres;Total;Navarra (Comunidad Foral de);Accidente en tiempo libre;No consta;3,4
Hombres;Total;País Vasco;Accidente de tráfico;TOTAL;895
Hombres;Total;País Vasco;Accidente de tráfico;Sí;16,2
Hombres;Total;País Vasco;Accidente de tráfico;No;878,7
Hombres;Total;País Vasco;Accidente de tráfico;No consta;0
Hombres;Total;País Vasco;Accidente en casa;TOTAL;895
Hombres;Total;País Vasco;Accidente en casa;Sí;3,4
Hombres;Total;País Vasco;Accidente en casa;No;891,6
Hombres;Total;País Vasco;Accidente en casa;No consta;0
Hombres;Total;País Vasco;Accidente en tiempo libre;TOTAL;895
Hombres;Total;País Vasco;Accidente en tiempo libre;Sí;24
Hombres;Total;País Vasco;Accidente en tiempo libre;No;871
Hombres;Total;País Vasco;Accidente en tiempo libre;No consta;0
Hombres;Total;Rioja (La);Accidente de tráfico;TOTAL;131,1
Hombres;Total;Rioja (La);Accidente de tráfico;Sí;3,8
Hombres;Total;Rioja (La);Accidente de tráfico;No;126,9
Hombres;Total;Rioja (La);Accidente de tráfico;No consta;0,4
Hombres;Total;Rioja (La);Accidente en casa;TOTAL;131,1
Hombres;Total;Rioja (La);Accidente en casa;Sí;2
Hombres;Total;Rioja (La);Accidente en casa;No;128,7
Hombres;Total;Rioja (La);Accidente en casa;No consta;0,4
Hombres;Total;Rioja (La);Accidente en tiempo libre;TOTAL;131,1
Hombres;Total;Rioja (La);Accidente en tiempo libre;Sí;3,5
Hombres;Total;Rioja (La);Accidente en tiempo libre;No;127,2
Hombres;Total;Rioja (La);Accidente en tiempo libre;No consta;0,4
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente de tráfico;TOTAL;33,6
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente de tráfico;Sí;1,5
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente de tráfico;No;32,1
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente de tráfico;No consta;0
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente en casa;TOTAL;33,6
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente en casa;Sí;0,5
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente en casa;No;33,1
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente en casa;No consta;0
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente en tiempo libre;TOTAL;33,6
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente en tiempo libre;Sí;1
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente en tiempo libre;No;32,6
Hombres;Total;Ceuta (Ciudad Autónoma de);Accidente en tiempo libre;No consta;0
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente de tráfico;TOTAL;32
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente de tráfico;Sí;0,9
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente de tráfico;No;31,1
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente de tráfico;No consta;0
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente en casa;TOTAL;32
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente en casa;Sí;1,3
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente en casa;No;30,6
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente en casa;No consta;0
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente en tiempo libre;TOTAL;32
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente en tiempo libre;Sí;0,2
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente en tiempo libre;No;31,8
Hombres;Total;Melilla (Ciudad Autónoma de);Accidente en tiempo libre;No consta;0
Mujeres;Total;;Accidente de tráfico;TOTAL;20.525,00
Mujeres;Total;;Accidente de tráfico;Sí;248,2
Mujeres;Total;;Accidente de tráfico;No;20.263,40
Mujeres;Total;;Accidente de tráfico;No consta;13,4
Mujeres;Total;;Accidente en casa;TOTAL;20.525,00
Mujeres;Total;;Accidente en casa;Sí;582,6
Mujeres;Total;;Accidente en casa;No;19.926,00
Mujeres;Total;;Accidente en casa;No consta;16,4
Mujeres;Total;;Accidente en tiempo libre;TOTAL;20.525,00
Mujeres;Total;;Accidente en tiempo libre;Sí;550,1
Mujeres;Total;;Accidente en tiempo libre;No;19.960,90
Mujeres;Total;;Accidente en tiempo libre;No consta;14
Mujeres;Total;Andalucía;Accidente de tráfico;TOTAL;3.623,40
Mujeres;Total;Andalucía;Accidente de tráfico;Sí;39,9
Mujeres;Total;Andalucía;Accidente de tráfico;No;3.582,10
Mujeres;Total;Andalucía;Accidente de tráfico;No consta;1,4
Mujeres;Total;Andalucía;Accidente en casa;TOTAL;3.623,40
Mujeres;Total;Andalucía;Accidente en casa;Sí;105,1
Mujeres;Total;Andalucía;Accidente en casa;No;3.516,90
Mujeres;Total;Andalucía;Accidente en casa;No consta;1,4
Mujeres;Total;Andalucía;Accidente en tiempo libre;TOTAL;3.623,40
Mujeres;Total;Andalucía;Accidente en tiempo libre;Sí;50,6
Mujeres;Total;Andalucía;Accidente en tiempo libre;No;3.571,40
Mujeres;Total;Andalucía;Accidente en tiempo libre;No consta;1,4
Mujeres;Total;Aragón;Accidente de tráfico;TOTAL;570,9
Mujeres;Total;Aragón;Accidente de tráfico;Sí;9,6
Mujeres;Total;Aragón;Accidente de tráfico;No;561,3
Mujeres;Total;Aragón;Accidente de tráfico;No consta;0
Mujeres;Total;Aragón;Accidente en casa;TOTAL;570,9
Mujeres;Total;Aragón;Accidente en casa;Sí;16
Mujeres;Total;Aragón;Accidente en casa;No;554,9
Mujeres;Total;Aragón;Accidente en casa;No consta;0
Mujeres;Total;Aragón;Accidente en tiempo libre;TOTAL;570,9
Mujeres;Total;Aragón;Accidente en tiempo libre;Sí;10,1
Mujeres;Total;Aragón;Accidente en tiempo libre;No;560,8
Mujeres;Total;Aragón;Accidente en tiempo libre;No consta;0
Mujeres;Total;Asturias (Principado de);Accidente de tráfico;TOTAL;471,1
Mujeres;Total;Asturias (Principado de);Accidente de tráfico;Sí;3,5
Mujeres;Total;Asturias (Principado de);Accidente de tráfico;No;466,3
Mujeres;Total;Asturias (Principado de);Accidente de tráfico;No consta;1,4
Mujeres;Total;Asturias (Principado de);Accidente en casa;TOTAL;471,1
Mujeres;Total;Asturias (Principado de);Accidente en casa;Sí;14,6
Mujeres;Total;Asturias (Principado de);Accidente en casa;No;455,1
Mujeres;Total;Asturias (Principado de);Accidente en casa;No consta;1,4
Mujeres;Total;Asturias (Principado de);Accidente en tiempo libre;TOTAL;471,1
Mujeres;Total;Asturias (Principado de);Accidente en tiempo libre;Sí;19,5
Mujeres;Total;Asturias (Principado de);Accidente en tiempo libre;No;450,3
Mujeres;Total;Asturias (Principado de);Accidente en tiempo libre;No consta;1,4
Mujeres;Total;Balears (Illes);Accidente de tráfico;TOTAL;518,3
Mujeres;Total;Balears (Illes);Accidente de tráfico;Sí;20,1
Mujeres;Total;Balears (Illes);Accidente de tráfico;No;498,2
Mujeres;Total;Balears (Illes);Accidente de tráfico;No consta;0
Mujeres;Total;Balears (Illes);Accidente en casa;TOTAL;518,3
Mujeres;Total;Balears (Illes);Accidente en casa;Sí;5,4
Mujeres;Total;Balears (Illes);Accidente en casa;No;512,9
Mujeres;Total;Balears (Illes);Accidente en casa;No consta;0
Mujeres;Total;Balears (Illes);Accidente en tiempo libre;TOTAL;518,3
Mujeres;Total;Balears (Illes);Accidente en tiempo libre;Sí;3,9
Mujeres;Total;Balears (Illes);Accidente en tiempo libre;No;514,3
Mujeres;Total;Balears (Illes);Accidente en tiempo libre;No consta;0
Mujeres;Total;Canarias;Accidente de tráfico;TOTAL;982,8
Mujeres;Total;Canarias;Accidente de tráfico;Sí;15,1
Mujeres;Total;Canarias;Accidente de tráfico;No;967,7
Mujeres;Total;Canarias;Accidente de tráfico;No consta;0
Mujeres;Total;Canarias;Accidente en casa;TOTAL;982,8
Mujeres;Total;Canarias;Accidente en casa;Sí;34,8
Mujeres;Total;Canarias;Accidente en casa;No;947,9
Mujeres;Total;Canarias;Accidente en casa;No consta;0
Mujeres;Total;Canarias;Accidente en tiempo libre;TOTAL;982,8
Mujeres;Total;Canarias;Accidente en tiempo libre;Sí;37,3
Mujeres;Total;Canarias;Accidente en tiempo libre;No;945,5
Mujeres;Total;Canarias;Accidente en tiempo libre;No consta;0
Mujeres;Total;Cantabria;Accidente de tráfico;TOTAL;258,1
Mujeres;Total;Cantabria;Accidente de tráfico;Sí;2,3
Mujeres;Total;Cantabria;Accidente de tráfico;No;255,8
Mujeres;Total;Cantabria;Accidente de tráfico;No consta;0
Mujeres;Total;Cantabria;Accidente en casa;TOTAL;258,1
Mujeres;Total;Cantabria;Accidente en casa;Sí;2,8
Mujeres;Total;Cantabria;Accidente en casa;No;255,4
Mujeres;Total;Cantabria;Accidente en casa;No consta;0
Mujeres;Total;Cantabria;Accidente en tiempo libre;TOTAL;258,1
Mujeres;Total;Cantabria;Accidente en tiempo libre;Sí;2,2
Mujeres;Total;Cantabria;Accidente en tiempo libre;No;255,3
Mujeres;Total;Cantabria;Accidente en tiempo libre;No consta;0,7
Mujeres;Total;Castilla y León;Accidente de tráfico;TOTAL;1.048,00
Mujeres;Total;Castilla y León;Accidente de tráfico;Sí;7
Mujeres;Total;Castilla y León;Accidente de tráfico;No;1.041,00
Mujeres;Total;Castilla y León;Accidente de tráfico;No consta;0
Mujeres;Total;Castilla y León;Accidente en casa;TOTAL;1.048,00
Mujeres;Total;Castilla y León;Accidente en casa;Sí;38,3
Mujeres;Total;Castilla y León;Accidente en casa;No;1.009,70
Mujeres;Total;Castilla y León;Accidente en casa;No consta;0
Mujeres;Total;Castilla y León;Accidente en tiempo libre;TOTAL;1.048,00
Mujeres;Total;Castilla y León;Accidente en tiempo libre;Sí;37
Mujeres;Total;Castilla y León;Accidente en tiempo libre;No;1.011,00
Mujeres;Total;Castilla y León;Accidente en tiempo libre;No consta;0
Mujeres;Total;Castilla-La Mancha;Accidente de tráfico;TOTAL;853,2
Mujeres;Total;Castilla-La Mancha;Accidente de tráfico;Sí;8,5
Mujeres;Total;Castilla-La Mancha;Accidente de tráfico;No;844,3
Mujeres;Total;Castilla-La Mancha;Accidente de tráfico;No consta;0,4
Mujeres;Total;Castilla-La Mancha;Accidente en casa;TOTAL;853,2
Mujeres;Total;Castilla-La Mancha;Accidente en casa;Sí;26,1
Mujeres;Total;Castilla-La Mancha;Accidente en casa;No;826,7
Mujeres;Total;Castilla-La Mancha;Accidente en casa;No consta;0,4
Mujeres;Total;Castilla-La Mancha;Accidente en tiempo libre;TOTAL;853,2
Mujeres;Total;Castilla-La Mancha;Accidente en tiempo libre;Sí;21,1
Mujeres;Total;Castilla-La Mancha;Accidente en tiempo libre;No;831,7
Mujeres;Total;Castilla-La Mancha;Accidente en tiempo libre;No consta;0,4
Mujeres;Total;Cataluña;Accidente de tráfico;TOTAL;3.290,40
Mujeres;Total;Cataluña;Accidente de tráfico;Sí;40,7
Mujeres;Total;Cataluña;Accidente de tráfico;No;3.247,10
Mujeres;Total;Cataluña;Accidente de tráfico;No consta;2,6
Mujeres;Total;Cataluña;Accidente en casa;TOTAL;3.290,40
Mujeres;Total;Cataluña;Accidente en casa;Sí;81,8
Mujeres;Total;Cataluña;Accidente en casa;No;3.202,40
Mujeres;Total;Cataluña;Accidente en casa;No consta;6,2
Mujeres;Total;Cataluña;Accidente en tiempo libre;TOTAL;3.290,40
Mujeres;Total;Cataluña;Accidente en tiempo libre;Sí;84,1
Mujeres;Total;Cataluña;Accidente en tiempo libre;No;3.203,60
Mujeres;Total;Cataluña;Accidente en tiempo libre;No consta;2,6
Mujeres;Total;Comunitat Valenciana;Accidente de tráfico;TOTAL;2.175,50
Mujeres;Total;Comunitat Valenciana;Accidente de tráfico;Sí;12
Mujeres;Total;Comunitat Valenciana;Accidente de tráfico;No;2.160,60
Mujeres;Total;Comunitat Valenciana;Accidente de tráfico;No consta;2,9
Mujeres;Total;Comunitat Valenciana;Accidente en casa;TOTAL;2.175,50
Mujeres;Total;Comunitat Valenciana;Accidente en casa;Sí;59,5
Mujeres;Total;Comunitat Valenciana;Accidente en casa;No;2.113,60
Mujeres;Total;Comunitat Valenciana;Accidente en casa;No consta;2,4
Mujeres;Total;Comunitat Valenciana;Accidente en tiempo libre;TOTAL;2.175,50
Mujeres;Total;Comunitat Valenciana;Accidente en tiempo libre;Sí;114,6
Mujeres;Total;Comunitat Valenciana;Accidente en tiempo libre;No;2.058,00
Mujeres;Total;Comunitat Valenciana;Accidente en tiempo libre;No consta;2,9
Mujeres;Total;Extremadura;Accidente de tráfico;TOTAL;457,9
Mujeres;Total;Extremadura;Accidente de tráfico;Sí;5,6
Mujeres;Total;Extremadura;Accidente de tráfico;No;452,3
Mujeres;Total;Extremadura;Accidente de tráfico;No consta;0
Mujeres;Total;Extremadura;Accidente en casa;TOTAL;457,9
Mujeres;Total;Extremadura;Accidente en casa;Sí;9,7
Mujeres;Total;Extremadura;Accidente en casa;No;448,1
Mujeres;Total;Extremadura;Accidente en casa;No consta;0
Mujeres;Total;Extremadura;Accidente en tiempo libre;TOTAL;457,9
Mujeres;Total;Extremadura;Accidente en tiempo libre;Sí;11
Mujeres;Total;Extremadura;Accidente en tiempo libre;No;446,9
Mujeres;Total;Extremadura;Accidente en tiempo libre;No consta;0
Mujeres;Total;Galicia;Accidente de tráfico;TOTAL;1.231,20
Mujeres;Total;Galicia;Accidente de tráfico;Sí;28,6
Mujeres;Total;Galicia;Accidente de tráfico;No;1.202,70
Mujeres;Total;Galicia;Accidente de tráfico;No consta;0
Mujeres;Total;Galicia;Accidente en casa;TOTAL;1.231,20
Mujeres;Total;Galicia;Accidente en casa;Sí;53,2
Mujeres;Total;Galicia;Accidente en casa;No;1.178,00
Mujeres;Total;Galicia;Accidente en casa;No consta;0
Mujeres;Total;Galicia;Accidente en tiempo libre;TOTAL;1.231,20
Mujeres;Total;Galicia;Accidente en tiempo libre;Sí;17,9
Mujeres;Total;Galicia;Accidente en tiempo libre;No;1.213,30
Mujeres;Total;Galicia;Accidente en tiempo libre;No consta;0
Mujeres;Total;Madrid (Comunidad de);Accidente de tráfico;TOTAL;2.971,50
Mujeres;Total;Madrid (Comunidad de);Accidente de tráfico;Sí;13,6
Mujeres;Total;Madrid (Comunidad de);Accidente de tráfico;No;2.957,90
Mujeres;Total;Madrid (Comunidad de);Accidente de tráfico;No consta;0
Mujeres;Total;Madrid (Comunidad de);Accidente en casa;TOTAL;2.971,50
Mujeres;Total;Madrid (Comunidad de);Accidente en casa;Sí;49,7
Mujeres;Total;Madrid (Comunidad de);Accidente en casa;No;2.921,80
Mujeres;Total;Madrid (Comunidad de);Accidente en casa;No consta;0
Mujeres;Total;Madrid (Comunidad de);Accidente en tiempo libre;TOTAL;2.971,50
Mujeres;Total;Madrid (Comunidad de);Accidente en tiempo libre;Sí;63,7
Mujeres;Total;Madrid (Comunidad de);Accidente en tiempo libre;No;2.907,90
Mujeres;Total;Madrid (Comunidad de);Accidente en tiempo libre;No consta;0
Mujeres;Total;Murcia (Región de);Accidente de tráfico;TOTAL;624,9
Mujeres;Total;Murcia (Región de);Accidente de tráfico;Sí;24,7
Mujeres;Total;Murcia (Región de);Accidente de tráfico;No;600,2
Mujeres;Total;Murcia (Región de);Accidente de tráfico;No consta;0
Mujeres;Total;Murcia (Región de);Accidente en casa;TOTAL;624,9
Mujeres;Total;Murcia (Región de);Accidente en casa;Sí;25,2
Mujeres;Total;Murcia (Región de);Accidente en casa;No;599,7
Mujeres;Total;Murcia (Región de);Accidente en casa;No consta;0
Mujeres;Total;Murcia (Región de);Accidente en tiempo libre;TOTAL;624,9
Mujeres;Total;Murcia (Región de);Accidente en tiempo libre;Sí;24,6
Mujeres;Total;Murcia (Región de);Accidente en tiempo libre;No;600,4
Mujeres;Total;Murcia (Región de);Accidente en tiempo libre;No consta;0
Mujeres;Total;Navarra (Comunidad Foral de);Accidente de tráfico;TOTAL;277,8
Mujeres;Total;Navarra (Comunidad Foral de);Accidente de tráfico;Sí;1,4
Mujeres;Total;Navarra (Comunidad Foral de);Accidente de tráfico;No;276,3
Mujeres;Total;Navarra (Comunidad Foral de);Accidente de tráfico;No consta;0
Mujeres;Total;Navarra (Comunidad Foral de);Accidente en casa;TOTAL;277,8
Mujeres;Total;Navarra (Comunidad Foral de);Accidente en casa;Sí;6,5
Mujeres;Total;Navarra (Comunidad Foral de);Accidente en casa;No;271,3
Mujeres;Total;Navarra (Comunidad Foral de);Accidente en casa;No consta;0
Mujeres;Total;Navarra (Comunidad Foral de);Accidente en tiempo libre;TOTAL;277,8
Mujeres;Total;Navarra (Comunidad Foral de);Accidente en tiempo libre;Sí;7,6
Mujeres;Total;Navarra (Comunidad Foral de);Accidente en tiempo libre;No;270,2
Mujeres;Total;Navarra (Comunidad Foral de);Accidente en tiempo libre;No consta;0
Mujeres;Total;País Vasco;Accidente de tráfico;TOTAL;968,3
Mujeres;Total;País Vasco;Accidente de tráfico;Sí;13
Mujeres;Total;País Vasco;Accidente de tráfico;No;950,5
Mujeres;Total;País Vasco;Accidente de tráfico;No consta;4,8
Mujeres;Total;País Vasco;Accidente en casa;TOTAL;968,3
Mujeres;Total;País Vasco;Accidente en casa;Sí;46,7
Mujeres;Total;País Vasco;Accidente en casa;No;916,9
Mujeres;Total;País Vasco;Accidente en casa;No consta;4,8
Mujeres;Total;País Vasco;Accidente en tiempo libre;TOTAL;968,3
Mujeres;Total;País Vasco;Accidente en tiempo libre;Sí;38,2
Mujeres;Total;País Vasco;Accidente en tiempo libre;No;925,3
Mujeres;Total;País Vasco;Accidente en tiempo libre;No consta;4,8
Mujeres;Total;Rioja (La);Accidente de tráfico;TOTAL;136,2
Mujeres;Total;Rioja (La);Accidente de tráfico;Sí;1,8
Mujeres;Total;Rioja (La);Accidente de tráfico;No;134,5
Mujeres;Total;Rioja (La);Accidente de tráfico;No consta;0
Mujeres;Total;Rioja (La);Accidente en casa;TOTAL;136,2
Mujeres;Total;Rioja (La);Accidente en casa;Sí;5,2
Mujeres;Total;Rioja (La);Accidente en casa;No;131
Mujeres;Total;Rioja (La);Accidente en casa;No consta;0
Mujeres;Total;Rioja (La);Accidente en tiempo libre;TOTAL;136,2
Mujeres;Total;Rioja (La);Accidente en tiempo libre;Sí;5,9
Mujeres;Total;Rioja (La);Accidente en tiempo libre;No;130,4
Mujeres;Total;Rioja (La);Accidente en tiempo libre;No consta;0
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente de tráfico;TOTAL;33,2
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente de tráfico;Sí;0,3
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente de tráfico;No;32,9
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente de tráfico;No consta;0
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente en casa;TOTAL;33,2
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente en casa;Sí;1,1
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente en casa;No;32,1
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente en casa;No consta;0
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente en tiempo libre;TOTAL;33,2
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente en tiempo libre;Sí;0,5
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente en tiempo libre;No;32,7
Mujeres;Total;Ceuta (Ciudad Autónoma de);Accidente en tiempo libre;No consta;0
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente de tráfico;TOTAL;32,3
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente de tráfico;Sí;0,6
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente de tráfico;No;31,7
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente de tráfico;No consta;0
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente en casa;TOTAL;32,3
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente en casa;Sí;0,8
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente en casa;No;31,5
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente en casa;No consta;0
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente en tiempo libre;TOTAL;32,3
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente en tiempo libre;Sí;0,3
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente en tiempo libre;No;32
Mujeres;Total;Melilla (Ciudad Autónoma de);Accidente en tiempo libre;No consta;0
